,TEDRATE
1996-12-31,0.0083
1997-12-31,0.007923346303501947
1998-12-31,0.01277709923664122
1999-12-31,0.015692424242424244
2000-12-31,0.020993869731800768
2001-12-31,0.023008914728682172
2002-12-31,0.02838473282442748
2003-12-31,0.018904980842911877
2004-12-31,0.012629277566539924
2005-12-31,0.012993869731800766
2006-12-31,0.012103076923076923
2007-12-31,0.015210000000000001
2008-12-31,0.041337786259541986
2009-12-31,0.047629770992366406
2010-12-31,0.02310760456273764
2011-12-31,0.023407662835249043
2012-12-31,0.02485923076923077
2013-12-31,0.019915384615384616
2014-12-31,0.01619386973180077
2015-12-31,0.020493846153846154
2016-12-31,0.021117557251908396
2017-12-31,0.014629999999999999
2018-12-31,0.014866283524904215
2019-12-31,0.015894252873563216
2020-12-31,0.020116793893129772
2021-12-31,0.01166793893129771
2022-12-31,0.017377011494252873
2023-12-31,0.015998846153846155
2024-12-31,0.011469961977186312
2025-12-31,0.010214285714285714
