Date,total_return
1976-12-31,0.10112720012664794
1977-12-31,0.09917630528829183
1978-12-31,0.1090838711107931
1979-12-31,0.1193294353638926
1980-12-31,0.14433440006256104
1981-12-31,0.16921365423853615
1982-12-31,0.1600550198459242
1983-12-31,0.14103000022888185
1984-12-31,0.1545811244474357
1985-12-31,0.13619798398786975
1986-12-31,-0.005999572819088916
1987-12-31,0.01605269618285976
1988-12-31,0.07428262563019361
1989-12-31,0.13717757202369918
1990-12-31,0.08714690843449469
1991-12-31,0.15330118303076312
1992-12-31,0.07267931453020404
1993-12-31,0.09729294091064711
1994-12-31,-0.025993338804191968
1995-12-31,0.1825041201973565
1996-12-31,0.036166401763498834
1997-12-31,0.09475751055235437
1998-12-31,0.08638373326169813
1999-12-31,-0.007168119119774219
2000-12-31,0.11441403285527318
2001-12-31,0.08387367888131503
2002-12-31,0.08432976695088734
2003-12-31,0.03905538711341361
2004-12-31,0.04272965591574507
2005-12-31,0.024285297745156642
2006-12-31,0.04307886980406295
2007-12-31,0.06098594747886166
2008-12-31,0.06863924718036851
2009-12-31,0.036366258162427556
2010-12-31,0.061986672714713587
2011-12-31,0.07929670922592158
2012-12-31,0.02940946249650045
2013-12-31,-0.02107467617743819
2014-12-31,0.05817856474058991
2015-12-31,0.00558956427078483
2016-12-31,0.025215489303686667
2017-12-31,0.03999465986293815
2018-12-31,0.0011593177597561954
2019-12-31,0.08833869865687394
2020-12-31,0.07715069609812009
2021-12-31,-0.018611034359656498
2022-12-31,-0.13112174813939548
2023-12-31,0.05654373029522386
2024-12-31,0.013826363263079733
