Date,Dividend_Yield
1993-12-31 00:00:00-05:00,0.04253231433828644
1994-12-31 00:00:00-05:00,0.04583827907806613
1995-12-31 00:00:00-05:00,0.03458448370621092
1996-12-31 00:00:00-05:00,0.029933862455041916
1997-12-31 00:00:00-05:00,0.022790668872248808
1998-12-31 00:00:00-05:00,0.01821097847607359
1999-12-31 00:00:00-05:00,0.015436527066995272
2000-12-31 00:00:00-05:00,0.017812722361764576
2001-12-31 00:00:00-05:00,0.01909990917013265
2002-12-31 00:00:00-05:00,0.025623108290225963
2003-12-31 00:00:00-05:00,0.02175114066366182
2004-12-31 00:00:00-05:00,0.026484077098583445
2005-12-31 00:00:00-05:00,0.024712277602753924
2006-12-31 00:00:00-05:00,0.024280337138515226
2007-12-31 00:00:00-05:00,0.025499351361902314
2008-12-31 00:00:00-05:00,0.040642628828790425
2009-12-31 00:00:00-05:00,0.025735358235292258
2010-12-31 00:00:00-05:00,0.02328208234799071
2011-12-31 00:00:00-05:00,0.025974958476712724
2012-12-31 00:00:00-05:00,0.026975471683596788
2013-12-31 00:00:00-05:00,0.02201792424814506
2014-12-31 00:00:00-05:00,0.022213816696054333
2015-12-31 00:00:00-05:00,0.024059484735163117
2016-12-31 00:00:00-05:00,0.023182878325777107
2017-12-31 00:00:00-05:00,0.020152060828634605
2018-12-31 00:00:00-05:00,0.02243174695582021
2019-12-31 00:00:00-05:00,0.018830159731260974
2020-12-31 00:00:00-05:00,0.01611694469032629
2021-12-31 00:00:00-05:00,0.012572881361849454
2022-12-31 00:00:00-05:00,0.016992276445344966
2023-12-31 00:00:00-05:00,0.014134108967112384
2024-12-31 00:00:00-05:00,0.012056374204815807
2025-12-31 00:00:00-05:00,0.011912470576226453
